zip,pct_m_bach,pct_f_bach
53944,9.8,15.3
53946,15.8,16.8
53947,4,3.9
53948,12.4,15.8
53949,9.8,14.7
53950,9,18
53951,11,19.1
53952,9.1,13.7
53953,0,4.2
53954,18.1,21.4
53955,22.1,24.6
53956,13.1,14.7
53959,19,20.7
53960,12.6,23.2
53961,14.5,22.9
53963,12.2,17.9
53964,13.5,17.9
53965,16.2,22.1
53968,9.9,14.1
53969,12.3,11.4
54001,21.5,19.4
54002,15.8,20.7
54003,22,24.8
54004,14.5,13.8
54005,10.6,15.5
54006,11.5,16.3
54007,6.8,26.3
54009,21.3,24.2
54010,0,0
54011,17.5,21.2
54013,14,21.3
54014,15.5,23.3
54015,20.3,32.7
54016,45.9,46.5
54017,22.6,26.5
54020,24.8,25.1
54021,28.6,25.4
54022,35.9,44.4
54023,28.2,33.4
54024,23,24.3
54025,21.4,30.2
54026,14.4,27.2
54027,16.2,20.1
54028,19.6,21
54082,37,57.3
54101,12.5,18.6
54102,10.8,7.2
54103,8.5,20.9
54104,6.8,9
54106,11.1,14.4
54107,14.7,17
54110,15.2,23.4
54111,15.1,17.3
54112,8.2,17
54113,18.8,19.7
54114,15.5,14.7
54115,35.2,35.5
54119,18.9,31.5
54120,3.1,7.4
54121,22.7,19.8
54123,12.6,20
54124,7.8,15.8
54125,10.1,13.4
54126,13,15.3
54127,0,0
54128,13,14.4
54129,12.3,21.1
54130,19,25.6
54135,20.1,16.8
54136,21.8,25.4
54137,15.9,16.4
54138,19.8,21.4
54139,13.7,13.4
54140,22.6,20.7
54141,12.4,22.9
54143,13.5,16.7
54149,10.2,17.4
54150,4.3,15.5
54151,15,13
54153,13.8,18.7
54154,17.5,16
54155,39.1,39.3
54156,8.6,12.4
54157,18,11.3
54159,12.6,19.1
54160,15.3,18.8
54161,9,12.8
54162,19.6,21.3
54165,17.8,19
54166,17.8,18.2
54169,46.4,48.9
54170,13.3,19.2
54171,27.6,33.3
54173,28.2,35
54174,7.2,13.3
54175,19.1,18.3
54177,12.1,17
54180,27,36.5
54201,16.6,14.6
54202,41.3,37.7
54204,15.2,18.4
54205,12.5,15.7
54207,0,13.8
54208,14.3,21.4
54209,44.4,37.2
54210,45.3,43.3
54211,56.3,58.7
54212,58,58.9
54213,9.8,14.9
54214,13.4,12.3
54216,17.6,16.6
54217,19,23
54220,20.5,23.6
54227,11.1,22.3
54228,14.2,16.1
54229,18.7,22
54230,11.9,21.5
54232,9.9,13.7
54234,50.5,45.3
54235,26.3,28.7
54241,16.9,17.7
54245,15.2,18.8
54246,38.6,48.4
54247,18.1,20.6
54301,34.8,33.3
54302,18.4,23.1
54303,15.7,18
54304,23.1,23.2
54307,NA,NA
54311,30,33
54313,32.6,33.7
54401,28.4,26.7
54403,25.6,27.1
54405,12.2,11.7
54406,27.4,30.8
54407,31.9,33.6
54408,5.7,13.6
54409,18.6,15.8
54410,12.1,20.4
54411,11,16.9
54412,11.8,20.8
54413,6.1,11.9
54414,10.3,16.2
54416,7.3,13.6
54417,0,0
54418,8.9,12.8
54420,14.6,24.8
54421,7,10
54422,4.2,7.7
54423,25.7,23.1
54424,18.3,18.3
54425,5.3,12.9
54426,10.2,18.5
54427,9.2,11.5
