age height
0 22.5
0.5 22.25
1 23
2 25
4 27.75
6 30
8 32
12 32.5
24 36
36 39.5
40 40
42 40.75
44 41.125
48 42.25
55 44.25
58 45
60 45.5
68 47
72 48.75
79 50.25
84 51.25
88 52.125
91 53
96 54
98 55
108 56
114 57
117 58.25
120 58.25
128 60.25
129 60.75
132 61
143 65
144 65.75
146 66.25
148 67
150 68
151.5 68.25
153.5 68.75
156 69.5
159 70
161 70.25
164 70.5
168 71
171 71.5
180 72
196 72.5
210 72.5
