Team_Index,Team,Conference,W,L,Win_Pct,Sets,Aces,Assists,Block_Solos,Block_Assists,Digs,Kills,Errors,Attacks,Opp_Kills,Opp_Errors,Opp_Attacks
296,UNC Greensboro,SoCon,1,27,0.036,100,135,917,28,172,1283,1000,589,3206,1284,391,3165
297,UNCW,CAA,12,16,0.429,104,156,1236,45,284,1584,1329,602,3673,1242,495,3577
298,UNI,MVC,26,7,0.788,110,143,1532,66,373,1813,1647,575,4066,1281,606,4012
299,UNLV,Mountain West,19,13,0.594,119,212,1428,33,412,1441,1594,565,3784,1361,576,3720
300,USC Upstate,Big South,12,14,0.462,94,161,1058,41,294,1516,1159,501,3440,1132,534,3422
301,UT Arlington,WAC,20,10,0.667,114,155,1408,41,421,1666,1535,593,3927,1303,600,3874
302,UT Martin,OVC,8,20,0.286,104,116,1168,46,243,1740,1278,648,4109,1411,496,3881
303,UTEP,CUSA,21,9,0.7,113,210,1333,42,519,1226,1434,517,3352,1238,597,3301
304,UTRGV,WAC,19,12,0.613,114,151,1369,49,344,1689,1511,605,4013,1389,593,3928
305,UTSA,AAC,15,15,0.5,107,188,1250,40,441,1612,1324,548,3760,1338,600,3810
306,Utah,Pac-12,11,19,0.367,117,189,1305,47,405,1489,1430,653,3852,1425,578,3754
307,Utah St.,Mountain West,24,6,0.8,111,192,1399,66,401,1405,1502,618,3752,1271,599,3517
308,Utah Valley,WAC,12,17,0.414,109,142,1197,50,503,1380,1284,534,3489,1412,604,3667
309,VCU,Atlantic 10,17,13,0.567,113,170,1263,60,401,1818,1376,618,4130,1381,671,4174
310,Valparaiso,MVC,18,15,0.545,119,133,1458,34,419,2067,1548,673,4585,1471,632,4465
311,Villanova,Big East,17,14,0.548,118,186,1317,28,279,1575,1479,573,4115,1495,546,3917
312,Virginia,ACC,11,17,0.393,106,154,1200,50,398,1482,1300,638,3664,1295,523,3521
313,Virginia Tech,ACC,13,16,0.448,105,160,1142,45,305,1412,1253,558,3397,1286,576,3506
