Team_Index,Team,Conference,W,L,Win_Pct,Sets,Aces,Assists,Block_Solos,Block_Assists,Digs,Kills,Errors,Attacks,Opp_Kills,Opp_Errors,Opp_Attacks
162,Mississippi Val.,SWAC,3,24,0.111,85,84,498,29,62,990,563,460,2495,1101,342,2653
163,Missouri,SEC,17,12,0.586,109,172,1322,26,370,1529,1406,591,3694,1318,486,3610
164,Missouri St.,MVC,16,16,0.5,122,171,1363,52,426,2061,1465,610,4549,1613,697,4772
165,Montana,Big Sky,11,18,0.379,111,179,1235,41,355,1516,1347,552,3716,1416,526,3743
166,Montana St.,Big Sky,22,8,0.733,115,192,1359,42,420,1642,1483,593,4088,1496,637,4086
167,Morehead St.,OVC,18,13,0.581,113,164,1412,69,336,1967,1505,635,4367,1309,597,4188
168,Morgan St.,MEAC,8,22,0.267,107,192,956,96,221,1230,1051,638,3263,1269,559,3316
169,Murray St.,MVC,13,14,0.481,108,151,1365,40,238,1814,1474,532,4021,1396,496,3980
170,N.C. A&T,CAA,8,18,0.308,100,166,1014,49,354,1224,1123,511,3103,1200,509,3153
171,N.C. Central,MEAC,6,18,0.25,96,143,967,46,170,1227,1050,548,3085,1170,435,3070
172,NC State,ACC,22,7,0.759,109,182,1361,30,399,1544,1456,545,3752,1224,590,3589
173,NIU,MAC,8,22,0.267,115,136,1277,59,394,1641,1370,534,3920,1629,590,4156
174,NJIT,America East,9,17,0.346,89,140,899,46,248,1212,964,473,3035,1214,471,3119
175,Navy,Patriot,18,9,0.667,103,169,1192,59,305,1479,1292,541,3604,1169,558,3444
176,Nebraska,Big Ten,28,1,0.966,102,121,1336,30,451,1399,1444,499,3354,1049,579,3338
177,Nevada,Mountain West,7,22,0.241,113,187,1090,65,420,1584,1193,588,3844,1518,653,4072
178,New Hampshire,America East,18,9,0.667,100,153,1146,37,358,1582,1234,502,3569,1239,612,3794
179,New Mexico,Mountain West,19,12,0.613,117,157,1308,70,432,1823,1435,540,4164,1585,774,4509
180,New Mexico St.,CUSA,21,10,0.677,115,159,1403,93,390,1602,1521,615,3759,1299,662,3816
181,New Orleans,Southland,9,22,0.29,106,140,1066,64,204,1598,1164,523,3666,1453,494,3802
182,Niagara,MAAC,13,14,0.481,91,122,962,50,362,1426,1038,484,3270,1159,554,3481
183,Nicholls,Southland,4,24,0.143,97,108,939,27,255,1241,1024,508,3268,1345,426,3251
184,Norfolk St.,MEAC,9,14,0.391,83,124,832,40,174,971,927,393,2553,1024,397,2598
185,North Ala.,ASUN,17,12,0.586,109,190,1264,26,310,1566,1352,477,3704,1395,587,3789
186,North Carolina,ACC,13,14,0.481,105,164,1207,38,364,1323,1317,602,3423,1259,507,3308
187,North Dakota,Summit League,7,21,0.25,105,136,1127,30,327,1467,1224,652,3581,1273,528,3509
188,North Dakota St.,Summit League,18,11,0.621,111,159,1392,34,376,1643,1492,584,3764,1375,567,3811
189,North Florida,ASUN,17,15,0.531,123,211,1444,52,340,1794,1558,651,4126,1473,609,4156
190,North Texas,AAC,17,15,0.531,124,154,1509,69,435,1631,1602,678,4053,1490,630,4019
191,Northeastern,CAA,11,14,0.44,93,147,911,40,341,1336,986,440,3063,1252,523,3353
192,Northern Ariz.,Big Sky,7,20,0.259,97,119,1058,51,238,1531,1135,533,3650,1245,506,3544
193,Northern Colo.,Big Sky,18,11,0.621,107,157,1205,66,266,1422,1386,557,3495,1257,537,3493
194,Northern Ky.,Horizon,18,13,0.581,121,222,1470,49,434,1880,1561,627,4339,1513,631,4313
195,Northwestern,Big Ten,15,15,0.5,113,149,1300,36,422,1561,1419,555,3812,1434,584,3858
196,Northwestern St.,Southland,14,17,0.452,109,145,1187,50,491,1819,1291,532,4090,1481,645,4309
197,Notre Dame,ACC,11,15,0.423,101,139,1086,41,339,1387,1188,588,3368,1227,534,3480
198,Oakland,Horizon,17,14,0.548,121,138,1420,54,341,2126,1513,634,4562,1566,655,4613
199,Ohio,MAC,18,13,0.581,119,158,1471,62,336,1703,1614,672,4142,1393,618,3989
200,Ohio St.,Big Ten,11,18,0.379,108,150,1260,43,293,1561,1378,583,3695,1384,534,3745
201,Oklahoma,Big 12,11,17,0.393,109,142,1343,46,356,1316,1436,607,3614,1259,488,3285
202,Old Dominion,Sun Belt,14,17,0.452,117,184,1315,67,428,1448,1436,610,3794,1531,630,3897
203,Ole Miss,SEC,11,18,0.379,111,139,1304,71,357,1548,1384,577,3767,1369,576,3779
204,Omaha,Summit League,15,14,0.517,112,176,1303,43,424,1454,1398,655,3747,1247,530,3534
205,Oral Roberts,Summit League,3,25,0.107,96,132,948,39,234,1413,1018,550,3495,1275,460,3415
206,Oregon,Pac-12,27,5,0.844,113,171,1470,59,506,1611,1577,526,3737,1231,641,3791
207,Oregon St.,Pac-12,11,19,0.367,120,120,1423,52,352,1631,1511,622,3948,1452,537,3890
208,Pacific,WCC,18,11,0.621,108,178,1328,51,246,1588,1420,644,3844,1133,532,3502
209,Penn,Ivy League,4,20,0.167,84,121,847,37,116,1156,903,477,2771,1079,351,2737
210,Penn St.,Big Ten,22,8,0.733,107,125,1322,82,463,1458,1440,536,3588,1247,617,3605
211,Pepperdine,WCC,19,8,0.704,91,138,1118,34,308,1320,1210,395,3108,1099,488,3184
212,Pittsburgh,ACC,25,4,0.862,98,142,1260,41,496,1172,1360,417,3047,1025,585,3056
213,Portland,WCC,9,19,0.321,113,201,1147,47,287,1242,1263,669,3548,1327,489,3360
214,Portland St.,Big Sky,16,12,0.571,102,175,1251,67,288,1551,1346,526,3651,1310,519,3632
215,Prairie View,SWAC,19,13,0.594,119,216,1290,65,268,1752,1400,555,3961,1330,615,4061
216,Presbyterian,Big South,9,17,0.346,103,159,998,71,326,1577,1091,482,3577,1342,620,3857
217,Princeton,Ivy League,14,9,0.609,88,147,1061,58,200,1225,1117,427,2871,1085,439,2947
218,Providence,Big East,9,21,0.3,112,183,1114,63,328,1491,1221,569,3723,1452,604,3825
219,Purdue,Big Ten,22,8,0.733,115,118,1412,51,495,1674,1530,536,4014,1520,652,4154
220,Purdue Fort Wayne,Horizon,10,20,0.333,116,157,1387,42,299,1749,1471,635,4148,1506,536,4044
221,Quinnipiac,MAAC,19,10,0.655,105,191,1257,62,242,1540,1357,631,3688,1157,551,3472
222,Radford,Big South,6,17,0.261,82,125,819,32,216,1105,887,546,2854,1026,395,2723
223,Rhode Island,Atlantic 10,4,26,0.133,107,173,994,27,405,1325,1070,660,3532,1354,545,3481
224,Rice,AAC,18,11,0.621,113,112,1364,108,328,2097,1471,587,4230,1346,646,4414
225,Rider,MAAC,12,17,0.414,102,170,1111,34,320,1406,1189,552,3418,1223,489,3394
226,Robert Morris,Horizon,7,22,0.241,106,164,1170,18,230,1662,1285,626,3976,1504,489,3924
227,Rutgers,Big Ten,10,20,0.333,115,136,1240,57,361,1493,1328,566,3724,1489,596,3839
228,SFA,WAC,29,4,0.879,119,177,1526,64,528,1939,1650,577,4283,1409,709,4343
229,SIUE,OVC,13,16,0.448,117,162,1330,80,380,1683,1422,649,4060,1479,630,4132
230,SMU,AAC,26,6,0.812,108,156,1391,39,430,1751,1507,495,3925,1339,625,4027
231,Sacramento St.,Big Sky,22,11,0.667,123,165,1519,85,483,1723,1640,625,4165,1351,673,4050
232,Sacred Heart,NEC,12,15,0.444,94,164,965,23,322,1232,1072,514,3092,1120,514,3134
233,Saint Francis (PA),NEC,15,11,0.577,101,198,1185,30,239,1306,1259,621,3253,1032,496,3042
234,Saint Louis,Atlantic 10,16,16,0.5,131,233,1518,66,380,1813,1626,747,4456,1502,656,4278
