Course,Staff Name,Country,Time,Character,Body,Tires,Glider
Daisy Cruiser,Nin★Chris,United Kingdom,01:47:00,Waluigi,Jet Bike,Slim,Super Glider
Moonview Highway,Nin★Yuya,Japan,01:54:00,Waluigi,The Duke,Monster,Wario Wing
Squeaky Clean Sprint,Nin★Fausti,France,02:17:00,Kamek,City Tripper,Cushion,Cloud Glider
Los Angeles Laps,Nin★Alice,United States,01:57:00,Mario,Comet,Slim,Super Glider
Sunset Wilds,Nin★Pit,Germany,01:48:00,Petey Piranha,Flame Rider,Off-Road,Flower Glider
Koopa Cape,Nin★Massim,Italy,02:18:00,Koopa Troopa,Steel Driver,Metal,Super Glider
Vancouver Velocity,Nin★Skip,United States,02:11:00,Rosalina,Sport Bike,Slim,Super Glider
Rome Avanti,Nin★Giulia,Italy,NA,Pauline,Badwagon,Metal,Super Glider
DK Mountain,Nin★Laura,United States,NA,Funky Kong,Standard ATV,Monster,Parafoil
Daisy Circuit,Nin★Adrien,France,NA,Daisy,Sports Coupe,Standard,Super Glider
Piranha Plant Cove,Nin★Sophia,Germany,NA,Petey Piranha,Flame Rider,Slim,Flower Glider
Madrid Drive,Nin★Aracel,Spain,NA,Peachette,Biddybuggy,Standard,Cloud Glider
Rosalina's Ice World,Nin★Pavel,Russia,NA,Rosalina,Sport Bike,Slim,Super Glider
Bowser Castle 3,Nin★Polly,United Kingdom,NA,Bowser,Landship,Wood,Super Glider
Rainbow Road (Wii),Nin★Leonel,United States,NA,Mario,Standard Kart,Standard,Super Glider
